Tiempo (s) Serie Nº 1;Voltaje, Ch A (V) Serie Nº 1;Voltaje, Ch B (V) Serie Nº 1;Voltaje, Ch C (V) Serie Nº 1;Volum (cm³) Serie Nº 1;Pressió (kPa) Serie Nº 1;Temperatura (K) Serie Nº 1
1,315;1,016;0,942;0,254;81,22;101,56;298,90
1,320;1,016;0,942;0,244;80,92;101,56;298,90
1,325;1,016;0,942;0,244;80,92;101,56;298,90
1,330;1,011;0,942;0,249;81,07;101,07;298,90
1,335;1,016;0,942;0,249;81,07;101,56;298,90
1,340;1,021;0,942;0,249;81,07;102,05;298,90
1,345;1,016;0,942;0,249;81,07;101,56;298,90
1,350;1,016;0,942;0,244;80,92;101,56;298,90
1,355;1,016;0,937;0,249;81,07;101,56;298,58
1,360;1,016;0,942;0,244;80,92;101,56;298,90
1,365;1,016;0,942;0,244;80,92;101,56;298,90
1,370;1,016;0,942;0,249;81,07;101,56;298,90
1,375;1,025;0,942;0,244;80,92;102,54;298,90
1,380;1,016;0,942;0,249;81,07;101,56;298,90
1,385;1,016;0,942;0,244;80,92;101,56;298,90
1,390;1,016;0,942;0,249;81,07;101,56;298,90
1,395;1,016;0,937;0,249;81,07;101,56;298,58
1,400;1,016;0,942;0,244;80,92;101,56;298,90
1,405;1,016;0,942;0,244;80,92;101,56;298,90
1,410;1,016;0,942;0,249;81,07;101,56;298,90
1,415;1,016;0,942;0,234;80,61;101,56;298,90
1,420;1,016;0,942;0,249;81,07;101,56;298,90
1,425;1,021;0,942;0,244;80,92;102,05;298,90
1,430;1,016;0,942;0,249;81,07;101,56;298,90
1,435;1,016;0,942;0,244;80,92;101,56;298,90
1,440;1,016;0,942;0,244;80,92;101,56;298,90
1,445;1,016;0,937;0,249;81,07;101,56;298,58
1,450;1,021;0,942;0,244;80,92;102,05;298,90
1,455;1,016;0,947;0,249;81,07;101,56;299,21
1,460;1,016;0,942;0,244;80,92;101,56;298,90
1,465;1,016;0,957;0,249;81,07;101,56;299,85
1,470;1,016;0,942;0,244;80,92;101,56;298,90
1,475;1,016;0,942;0,249;81,07;101,56;298,90
1,480;1,016;0,942;0,244;80,92;101,56;298,90
1,485;1,016;0,942;0,244;80,92;101,56;298,90
1,490;1,016;0,942;0,244;80,92;101,56;298,90
1,495;1,021;0,942;0,239;80,76;102,05;298,90
1,500;1,016;0,942;0,249;81,07;101,56;298,90
1,505;1,011;0,942;0,259;81,37;101,07;298,90
1,510;1,016;0,942;0,244;80,92;101,56;298,90
1,515;1,016;0,942;0,244;80,92;101,56;298,90
1,520;1,016;0,942;0,249;81,07;101,56;298,90
1,525;1,016;0,942;0,244;80,92;101,56;298,90
1,530;1,016;0,942;0,249;81,07;101,56;298,90
1,535;1,016;0,942;0,249;81,07;101,56;298,90
1,540;1,016;0,947;0,244;80,92;101,56;299,21
1,545;1,016;0,942;0,249;81,07;101,56;298,90
1,550;1,016;0,937;0,244;80,92;101,56;298,58
1,555;1,016;0,942;0,244;80,92;101,56;298,90
1,560;1,021;0,942;0,249;81,07;102,05;298,90
1,565;1,021;0,952;0,244;80,92;102,05;299,53
1,570;1,016;0,942;0,244;80,92;101,56;298,90
1,575;1,016;0,947;0,244;80,92;101,56;299,21
1,580;1,016;0,942;0,249;81,07;101,56;298,90
1,585;1,016;0,942;0,244;80,92;101,56;298,90
1,590;1,016;0,942;0,239;80,76;101,56;298,90
1,595;1,016;0,942;0,249;81,07;101,56;298,90
1,600;1,021;0,942;0,244;80,92;102,05;298,90
1,605;1,016;0,937;0,244;80,92;101,56;298,58
1,610;1,016;0,942;0,244;80,92;101,56;298,90
1,615;1,016;0,942;0,234;80,61;101,56;298,90
1,620;1,016;0,942;0,249;81,07;101,56;298,90
1,625;1,016;0,942;0,244;80,92;101,56;298,90
1,630;1,016;0,942;0,249;81,07;101,56;298,90
1,635;1,016;0,942;0,249;81,07;101,56;298,90
1,640;1,016;0,942;0,244;80,92;101,56;298,90
1,645;1,021;0,942;0,244;80,92;102,05;298,90
1,650;1,016;0,942;0,244;80,92;101,56;298,90
1,655;1,016;0,942;0,244;80,92;101,56;298,90
1,660;1,016;0,942;0,244;80,92;101,56;298,90
1,665;1,016;0,942;0,244;80,92;101,56;298,90
1,670;1,016;0,942;0,249;81,07;101,56;298,90
1,675;1,016;0,937;0,244;80,92;101,56;298,58
1,680;1,016;0,942;0,249;81,07;101,56;298,90
1,685;1,016;0,942;0,249;81,07;101,56;298,90
1,690;1,016;0,942;0,244;80,92;101,56;298,90
1,695;1,016;0,942;0,244;80,92;101,56;298,90
1,700;1,016;0,942;0,244;80,92;101,56;298,90
1,705;1,016;0,942;0,244;80,92;101,56;298,90
1,710;1,016;0,942;0,249;81,07;101,56;298,90
1,715;1,016;0,942;0,244;80,92;101,56;298,90
1,720;1,016;0,942;0,249;81,07;101,56;298,90
1,725;1,016;0,942;0,244;80,92;101,56;298,90
1,730;1,021;0,942;0,244;80,92;102,05;298,90
1,735;1,016;0,942;0,244;80,92;101,56;298,90
1,740;1,016;0,942;0,244;80,92;101,56;298,90
