Tiempo (s) Serie Nº 1;Voltaje, Ch A (V) Serie Nº 1;Voltaje, Ch B (V) Serie Nº 1;Voltaje, Ch C (V) Serie Nº 1;Volum (cm³) Serie Nº 1;Pressió (kPa) Serie Nº 1;Temperatura (K) Serie Nº 1
1,665;1,040;0,947;0,220;80,16;104,00;299,21
1,670;1,040;0,952;0,220;80,16;104,00;299,53
1,675;1,040;0,947;0,220;80,16;104,00;299,21
1,680;1,045;0,947;0,220;80,16;104,49;299,21
1,685;1,040;0,947;0,220;80,16;104,00;299,21
1,690;1,040;0,947;0,220;80,16;104,00;299,21
1,695;1,040;0,952;0,225;80,31;104,00;299,53
1,700;1,040;0,952;0,225;80,31;104,00;299,53
1,705;1,045;0,952;0,220;80,16;104,49;299,53
1,710;1,040;0,947;0,225;80,31;104,00;299,21
1,715;1,040;0,947;0,220;80,16;104,00;299,21
1,720;1,035;0,947;0,220;80,16;103,52;299,21
1,725;1,040;0,947;0,220;80,16;104,00;299,21
1,730;1,040;0,947;0,225;80,31;104,00;299,21
1,735;1,040;0,947;0,220;80,16;104,00;299,21
1,740;1,040;0,947;0,220;80,16;104,00;299,21
1,745;1,040;0,947;0,220;80,16;104,00;299,21
1,750;1,040;0,947;0,220;80,16;104,00;299,21
1,755;1,040;0,942;0,220;80,16;104,00;298,90
1,760;1,040;0,952;0,220;80,16;104,00;299,53
1,765;1,035;0,947;0,225;80,31;103,52;299,21
1,770;1,045;0,947;0,220;80,16;104,49;299,21
1,775;1,040;0,952;0,225;80,31;104,00;299,53
1,780;1,045;0,947;0,220;80,16;104,49;299,21
1,785;1,040;0,947;0,225;80,31;104,00;299,21
1,790;1,045;0,947;0,220;80,16;104,49;299,21
1,795;1,045;0,947;0,225;80,31;104,49;299,21
1,800;1,040;0,947;0,220;80,16;104,00;299,21
1,805;1,035;0,947;0,220;80,16;103,52;299,21
1,810;1,040;0,952;0,225;80,31;104,00;299,53
1,815;1,040;0,952;0,220;80,16;104,00;299,53
1,820;1,040;0,947;0,220;80,16;104,00;299,21
1,825;1,045;0,947;0,220;80,16;104,49;299,21
1,830;1,035;0,947;0,220;80,16;103,52;299,21
1,835;1,045;0,947;0,220;80,16;104,49;299,21
