Tiempo (s) Serie Nº 1;Voltaje, Ch A (V) Serie Nº 1;Voltaje, Ch B (V) Serie Nº 1;Voltaje, Ch C (V) Serie Nº 1;Volum (cm³) Serie Nº 1;Pressió (kPa) Serie Nº 1;Temperatura (K) Serie Nº 1
1,550;1,001;0,942;0,264;81,53;100,10;298,90
1,555;0,991;0,942;0,264;81,53;99,12;298,90
1,560;1,001;0,942;0,264;81,53;100,10;298,90
1,565;1,001;0,942;0,264;81,53;100,10;298,90
1,570;1,001;0,942;0,264;81,53;100,10;298,90
1,575;1,001;0,942;0,264;81,53;100,10;298,90
1,580;0,996;0,942;0,264;81,53;99,61;298,90
1,585;1,001;0,942;0,264;81,53;100,10;298,90
1,590;1,001;0,942;0,273;81,83;100,10;298,90
1,595;0,996;0,942;0,264;81,53;99,61;298,90
1,600;1,001;0,942;0,264;81,53;100,10;298,90
1,605;0,996;0,942;0,264;81,53;99,61;298,90
1,610;1,001;0,942;0,264;81,53;100,10;298,90
1,615;1,001;0,942;0,264;81,53;100,10;298,90
1,620;0,996;0,942;0,264;81,53;99,61;298,90
1,625;1,001;0,942;0,264;81,53;100,10;298,90
1,630;0,996;0,942;0,264;81,53;99,61;298,90
1,635;0,996;0,942;0,264;81,53;99,61;298,90
1,640;1,001;0,942;0,264;81,53;100,10;298,90
1,645;0,996;0,942;0,269;81,68;99,61;298,90
1,650;1,001;0,942;0,264;81,53;100,10;298,90
1,655;1,001;0,942;0,264;81,53;100,10;298,90
1,660;1,001;0,942;0,264;81,53;100,10;298,90
1,665;0,996;0,942;0,264;81,53;99,61;298,90
1,670;1,001;0,942;0,264;81,53;100,10;298,90
1,675;1,001;0,942;0,264;81,53;100,10;298,90
1,680;1,001;0,942;0,264;81,53;100,10;298,90
1,685;0,996;0,942;0,264;81,53;99,61;298,90
1,690;1,001;0,942;0,264;81,53;100,10;298,90
1,695;1,001;0,942;0,264;81,53;100,10;298,90
1,700;1,001;0,937;0,264;81,53;100,10;298,58
1,705;1,001;0,942;0,264;81,53;100,10;298,90
1,710;0,996;0,942;0,264;81,53;99,61;298,90
1,715;1,001;0,942;0,264;81,53;100,10;298,90
1,720;1,001;0,942;0,264;81,53;100,10;298,90
1,725;0,996;0,942;0,264;81,53;99,61;298,90
1,730;1,001;0,942;0,264;81,53;100,10;298,90
1,735;1,001;0,942;0,264;81,53;100,10;298,90
1,740;1,001;0,942;0,264;81,53;100,10;298,90
1,745;0,996;0,942;0,264;81,53;99,61;298,90
1,750;0,996;0,942;0,264;81,53;99,61;298,90
