Tiempo (s) Serie Nº 1;Voltaje, Ch A (V) Serie Nº 1;Voltaje, Ch B (V) Serie Nº 1;Voltaje, Ch C (V) Serie Nº 1;Volum (cm³) Serie Nº 1;Pressió (kPa) Serie Nº 1;Temperatura (K) Serie Nº 1
0,930;1,011;0,918;4,214;204,77;101,07;297,31
0,935;1,016;0,918;4,209;204,62;101,56;297,31
0,940;1,011;0,918;4,229;205,23;101,07;297,31
0,945;1,011;0,918;4,214;204,77;101,07;297,31
0,950;1,016;0,918;4,209;204,62;101,56;297,31
0,955;1,006;0,918;4,209;204,62;100,59;297,31
0,960;1,011;0,918;4,209;204,62;101,07;297,31
0,965;1,016;0,918;4,214;204,77;101,56;297,31
0,970;1,011;0,918;4,214;204,77;101,07;297,31
0,975;1,011;0,918;4,209;204,62;101,07;297,31
0,980;1,011;0,923;4,209;204,62;101,07;297,62
0,985;1,011;0,918;4,214;204,77;101,07;297,31
0,990;1,016;0,918;4,209;204,62;101,56;297,31
0,995;1,011;0,918;4,214;204,77;101,07;297,31
1,000;1,016;0,918;4,209;204,62;101,56;297,31
1,005;1,011;0,923;4,214;204,77;101,07;297,62
1,010;1,011;0,918;4,209;204,62;101,07;297,31
1,015;1,011;0,923;4,214;204,77;101,07;297,62
1,020;1,006;0,923;4,209;204,62;100,59;297,62
1,025;1,011;0,923;4,209;204,62;101,07;297,62
1,030;1,011;0,918;4,209;204,62;101,07;297,31
1,035;1,011;0,918;4,209;204,62;101,07;297,31
1,040;1,011;0,923;4,219;204,93;101,07;297,62
1,045;1,006;0,918;4,214;204,77;100,59;297,31
1,050;1,006;0,923;4,209;204,62;100,59;297,62
1,055;1,011;0,923;4,209;204,62;101,07;297,62
1,060;1,011;0,918;4,209;204,62;101,07;297,31
1,065;1,011;0,923;4,214;204,77;101,07;297,62
1,070;1,011;0,923;4,214;204,77;101,07;297,62
1,075;1,011;0,923;4,209;204,62;101,07;297,62
1,080;1,011;0,923;4,219;204,93;101,07;297,62
1,085;1,016;0,918;4,209;204,62;101,56;297,31
1,090;1,011;0,923;4,219;204,93;101,07;297,62
1,095;1,011;0,923;4,214;204,77;101,07;297,62
1,100;1,016;0,923;4,209;204,62;101,56;297,62
