Tiempo (s) Serie Nº 1;Voltaje, Ch A (V) Serie Nº 1;Voltaje, Ch B (V) Serie Nº 1;Voltaje, Ch C (V) Serie Nº 1;Volum (cm³) Serie Nº 1;Pressió (kPa) Serie Nº 1;Temperatura (K) Serie Nº 1
0,715;1,030;0,947;4,517;214,22;103,03;299,21
0,720;1,030;0,942;4,517;214,22;103,03;298,90
0,725;1,025;0,942;4,517;214,22;102,54;298,90
0,730;1,030;0,937;4,512;214,07;103,03;298,58
0,735;1,025;0,947;4,517;214,22;102,54;299,21
0,740;1,030;0,947;4,512;214,07;103,03;299,21
0,745;1,030;0,947;4,512;214,07;103,03;299,21
0,750;1,030;0,947;4,517;214,22;103,03;299,21
0,755;1,030;0,952;4,512;214,07;103,03;299,53
0,760;1,030;0,942;4,517;214,22;103,03;298,90
0,765;1,030;0,942;4,512;214,07;103,03;298,90
0,770;1,025;0,947;4,512;214,07;102,54;299,21
0,775;1,030;0,942;4,512;214,07;103,03;298,90
0,780;1,025;0,947;4,502;213,76;102,54;299,21
0,785;1,030;0,947;4,521;214,37;103,03;299,21
0,790;1,030;0,947;4,517;214,22;103,03;299,21
0,795;1,030;0,942;4,512;214,07;103,03;298,90
0,800;1,025;0,947;4,512;214,07;102,54;299,21
0,805;1,030;0,947;4,512;214,07;103,03;299,21
0,810;1,030;0,942;4,512;214,07;103,03;298,90
0,815;1,030;0,947;4,517;214,22;103,03;299,21
0,820;1,030;0,957;4,512;214,07;103,03;299,85
0,825;1,030;0,947;4,512;214,07;103,03;299,21
0,830;1,030;0,942;4,512;214,07;103,03;298,90
0,835;1,030;0,947;4,517;214,22;103,03;299,21
0,840;1,030;0,947;4,507;213,91;103,03;299,21
0,845;1,030;0,947;4,512;214,07;103,03;299,21
0,850;1,030;0,942;4,517;214,22;103,03;298,90
0,855;1,030;0,947;4,512;214,07;103,03;299,21
0,860;1,025;0,947;4,517;214,22;102,54;299,21
0,865;1,030;0,947;4,512;214,07;103,03;299,21
0,870;1,030;0,947;4,512;214,07;103,03;299,21
0,875;1,030;0,942;4,512;214,07;103,03;298,90
0,880;1,030;0,947;4,531;214,68;103,03;299,21
0,885;1,030;0,942;4,512;214,07;103,03;298,90
0,890;1,030;0,947;4,512;214,07;103,03;299,21
0,895;1,025;0,942;4,517;214,22;102,54;298,90
0,900;1,030;0,942;4,517;214,22;103,03;298,90
0,905;1,030;0,947;4,512;214,07;103,03;299,21
