Tiempo (s) Serie Nº 1;Voltaje, Ch A (V) Serie Nº 1;Voltaje, Ch B (V) Serie Nº 1;Voltaje, Ch C (V) Serie Nº 1;Volum (cm³) Serie Nº 1;Pressió (kPa) Serie Nº 1;Temperatura (K) Serie Nº 1
0,915;1,016;0,937;4,478;213,00;101,56;298,58
0,920;1,016;0,937;4,487;213,30;101,56;298,58
0,925;1,016;0,937;4,478;213,00;101,56;298,58
0,930;1,016;0,937;4,463;212,54;101,56;298,58
0,935;1,016;0,937;4,468;212,69;101,56;298,58
0,940;1,016;0,937;4,473;212,85;101,56;298,58
0,945;1,016;0,937;4,458;212,39;101,56;298,58
0,950;1,016;0,937;4,478;213,00;101,56;298,58
0,955;1,016;0,937;4,473;212,85;101,56;298,58
0,960;1,016;0,937;4,473;212,85;101,56;298,58
0,965;1,016;0,937;4,478;213,00;101,56;298,58
0,970;1,021;0,937;4,473;212,85;102,05;298,58
0,975;1,016;0,937;4,478;213,00;101,56;298,58
0,980;1,016;0,937;4,478;213,00;101,56;298,58
0,985;1,016;0,937;4,478;213,00;101,56;298,58
0,990;1,016;0,937;4,478;213,00;101,56;298,58
0,995;1,016;0,937;4,473;212,85;101,56;298,58
1,000;1,016;0,942;4,473;212,85;101,56;298,90
1,005;1,016;0,937;4,478;213,00;101,56;298,58
1,010;1,016;0,937;4,473;212,85;101,56;298,58
1,015;1,016;0,937;4,478;213,00;101,56;298,58
1,020;1,016;0,937;4,473;212,85;101,56;298,58
1,025;1,016;0,937;4,473;212,85;101,56;298,58
1,030;1,016;0,937;4,478;213,00;101,56;298,58
1,035;1,016;0,937;4,473;212,85;101,56;298,58
1,040;1,016;0,937;4,473;212,85;101,56;298,58
1,045;1,016;0,937;4,473;212,85;101,56;298,58
1,050;1,016;0,937;4,473;212,85;101,56;298,58
1,055;1,016;0,937;4,478;213,00;101,56;298,58
1,060;1,016;0,937;4,478;213,00;101,56;298,58
1,065;1,016;0,937;4,478;213,00;101,56;298,58
1,070;1,016;0,937;4,453;212,24;101,56;298,58
1,075;1,016;0,937;4,478;213,00;101,56;298,58
1,080;1,016;0,937;4,473;212,85;101,56;298,58
1,085;1,016;0,942;4,473;212,85;101,56;298,90
1,090;1,016;0,937;4,478;213,00;101,56;298,58
1,095;1,016;0,937;4,473;212,85;101,56;298,58
1,100;1,016;0,937;4,478;213,00;101,56;298,58
1,105;1,016;0,937;4,473;212,85;101,56;298,58
1,110;1,016;0,928;4,478;213,00;101,56;297,94
1,115;1,016;0,937;4,478;213,00;101,56;298,58
1,120;1,016;0,937;4,478;213,00;101,56;298,58
1,125;1,016;0,937;4,478;213,00;101,56;298,58
1,130;1,016;0,937;4,473;212,85;101,56;298,58
1,135;1,016;0,937;4,473;212,85;101,56;298,58
1,140;1,016;0,937;4,492;213,46;101,56;298,58
1,145;1,016;0,937;4,473;212,85;101,56;298,58
1,150;1,016;0,937;4,478;213,00;101,56;298,58
1,155;1,016;0,937;4,478;213,00;101,56;298,58
1,160;1,016;0,937;4,478;213,00;101,56;298,58
1,165;1,016;0,937;4,473;212,85;101,56;298,58
1,170;1,021;0,937;4,478;213,00;102,05;298,58
1,175;1,016;0,937;4,478;213,00;101,56;298,58
1,180;1,016;0,937;4,473;212,85;101,56;298,58
1,185;1,016;0,937;4,473;212,85;101,56;298,58
1,190;1,016;0,942;4,478;213,00;101,56;298,90
1,195;1,021;0,937;4,473;212,85;102,05;298,58
1,200;1,016;0,937;4,478;213,00;101,56;298,58
1,205;1,016;0,937;4,473;212,85;101,56;298,58
1,210;1,016;0,937;4,473;212,85;101,56;298,58
1,215;1,016;0,937;4,473;212,85;101,56;298,58
1,220;1,016;0,937;4,473;212,85;101,56;298,58
1,225;1,016;0,937;4,473;212,85;101,56;298,58
